Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
30/08/2024,16436,10705,225,19026,3925,59
15/09/2023,15499,10671,267,18421,4519,61
28/12/2021,1756,2352,0,3775,0,13
11/01/2023,10536,8347,223,14072,0,48
11/09/2021,820,612,0,1283,0,11
31/01/2020,12977,9620,242,19327,0,0
01/03/2023,17387,11627,362,21753,5544,108
17/07/2021,2735,3651,0,5236,0,20
07/03/2023,17674,11859,364,21560,5700,91
12/11/2020,13405,6989,273,13688,4983,74
29/08/2023,16332,11502,395,20819,4718,90
30/09/2019,14148,11666,414,22670,0,0
11/03/2023,4137,6701,0,9370,9,19
11/06/2020,9293,4765,127,9940,4936,1
08/05/2022,1815,3424,0,4869,0,18
22/06/2021,15204,9372,324,16855,4239,80
28/06/2022,11895,8363,262,14384,2913,57
19/07/2024,11573,9340,254,15526,0,70
25/10/2021,6517,3158,80,6569,1861,39
05/05/2021,16573,9338,341,17666,5786,77
11/04/2023,11880,9258,292,16829,0,49
04/10/2020,1835,3226,0,4156,0,27
30/12/2021,4349,2957,16,4988,0,40
27/10/2019,3020,5112,0,6761,0,171
28/11/2019,18200,11890,424,23911,4904,0
19/12/2020,3103,4635,0,5958,0,24
19/11/2022,3736,5573,0,7765,0,32
13/09/2021,2164,848,22,2204,0,35
17/09/2023,2709,5108,0,7813,0,23
30/12/2019,5899,4310,26,7269,0,0
12/10/2019,3631,6629,0,9204,0,0
04/11/2021,9013,4379,112,8518,4388,56
10/07/2024,12394,9952,308,16751,0,76
18/01/2023,11246,8489,278,14409,0,70
08/07/2024,11237,8654,282,15559,0,52
12/09/2020,2449,3707,0,5562,0,17
07/10/2023,4077,6830,0,8725,0,14
02/06/2020,9101,4373,110,9258,4931,1
02/02/2022,11578,5892,114,10954,5852,53
15/05/2021,3003,4645,0,6296,0,27
19/03/2022,3189,5160,0,6911,0,34
02/02/2023,15814,10464,324,18290,5995,82
08/01/2021,8402,6501,144,10400,0,34
07/03/2024,19316,12226,351,22311,5990,110
16/08/2024,16467,10797,256,19135,4678,95
23/10/2020,13313,6459,198,13817,5004,40
23/09/2020,12750,6277,202,12590,4965,63
10/05/2024,17339,10895,281,19114,5080,75
28/08/2024,16867,11452,333,21017,4644,106
23/07/2020,11244,5630,167,11301,5205,64
13/01/2024,3537,4717,0,6425,0,20
26/02/2023,2481,5640,0,6881,0,21
12/08/2020,11814,5681,180,11606,5116,52
12/09/2022,13036,8545,215,15050,4514,105
28/02/2023,15837,11516,351,20528,2345,84
28/03/2020,1092,1081,0,1971,0,0
24/07/2019,19380,12044,463,25312,5786,1
18/08/2024,2719,4481,0,6552,0,13
26/04/2021,2282,3173,0,4503,0,23
08/12/2021,11353,6969,213,12215,2565,76
05/11/2019,18877,12355,468,24998,5752,1
01/08/2024,17225,11114,333,20758,5031,79
26/11/2020,13752,8194,237,14711,4502,67
16/06/2023,14424,10477,284,17591,4425,64
21/12/2019,3175,4981,0,6683,0,1
01/01/2023,1364,2406,0,3178,0,4
