Service,Model,RMSE,MAE,MAPE,SMAPE,Is_Winner
Local Route,Prophet,11838.205900473304,10236.49672815696,998.9769223278034,199.1115630848169,False
Local Route,SARIMA,10683.837215858763,9182.213610509461,848.9913762600391,199.34961746226364,False
Local Route,LightGBM,10673.744737615403,9171.208861907842,815.2349572392097,199.27241498957414,True
Light Rail,Prophet,8627.537672890729,8271.73425596009,2.603637372604894e+19,189.52620350188704,False
Light Rail,SARIMA,5934.654809486911,5307.343336060156,1.5834479632497162e+19,186.576786806927,True
Light Rail,LightGBM,7958.563775681249,7155.912391781812,2.0855277400785138e+19,189.52736564441054,False
Peak Service,Prophet,252.44684419103862,218.89227186025147,7.720503946959501e+17,199.82903569696632,False
Peak Service,SARIMA,250.46356294044452,213.51212132725325,7.452528629516308e+17,199.83105285994475,True
Peak Service,LightGBM,267.03389603149026,225.46608997839354,8.142401519616576e+17,199.81840916981673,False
Rapid Route,Prophet,15205.43493742835,14195.532160704319,1.1616157973122875e+19,199.55304552892537,False
Rapid Route,SARIMA,11242.702156847045,9555.337312176296,9.236396390693982e+18,199.32323234199052,True
Rapid Route,LightGBM,14655.633338640606,13127.118893860912,1.1836084228716827e+19,199.43868531412855,False
School,Prophet,2194.166764637751,2172.556351165463,3.569682260107949e+18,199.4576324387411,False
School,SARIMA,3620.689901587151,2976.9503538578033,1.4037786902811192e+18,199.7195893511899,False
School,LightGBM,1558.8362732252147,1275.9094634061596,8.495450109455002e+17,199.2506611516032,True
